PERMNO,date,RET
14593,2014-09-19,-0.008154
14593,2014-09-22,0.00099
14593,2014-09-23,0.015634
14593,2014-09-24,-0.008671
14593,2014-09-25,-0.038133
14593,2014-09-26,0.029427
14593,2014-09-29,-0.006352
14593,2014-09-30,0.006393
14593,2014-10-01,-0.015583
14593,2014-10-02,0.00726
14593,2014-10-03,-0.002803
14593,2014-10-06,0
14593,2014-10-07,-0.008733
14593,2014-10-08,0.02076
14593,2014-10-09,0.002182
14593,2014-10-10,-0.002871
14593,2014-10-13,-0.009133
14593,2014-10-14,-0.01062
14593,2014-10-15,-0.012253
14593,2014-10-16,-0.013123
14593,2014-10-17,0.014648
14593,2014-10-20,0.021399
14593,2014-10-21,0.027165
14593,2014-10-22,0.005075
14593,2014-10-23,0.017866
14593,2014-10-24,0.00372
14593,2014-10-27,-0.001045
14593,2014-10-28,0.015508
14593,2014-10-29,0.005621
14593,2014-10-30,-0.003354
14593,2014-10-31,0.009534
14593,2014-11-03,0.012963
14593,2014-11-04,-0.007313
14593,2014-11-05,0.002394
14593,2014-11-06,0.002848
14593,2014-11-07,0.002852
14593,2014-11-10,-0.001651
14593,2014-11-11,0.007994
14593,2014-11-12,0.014129
14593,2014-11-13,0.014112
14593,2014-11-14,0.012055
14593,2014-11-17,-0.001664
14593,2014-11-18,0.012984
14593,2014-11-19,-0.006928
14593,2014-11-20,0.014302
14593,2014-11-21,0.001376
14593,2014-11-24,0.018503
14593,2014-11-25,-0.008641
14593,2014-11-26,0.011905
14593,2014-11-28,-0.000588
14593,2014-12-01,-0.032456
14593,2014-12-02,-0.003824
14593,2014-12-03,0.011341
14593,2014-12-04,-0.003795
14593,2014-12-05,-0.004243
14593,2014-12-08,-0.022609
14593,2014-12-09,0.015303
14593,2014-12-10,-0.019015
14593,2014-12-11,-0.002948
14593,2014-12-12,-0.016932
14593,2014-12-15,-0.013716
14593,2014-12-16,-0.013675
14593,2014-12-17,0.024966
14593,2014-12-18,0.029613
14593,2014-12-19,-0.007723
14593,2014-12-22,0.010378
14593,2014-12-23,-0.003542
14593,2014-12-24,-0.004709
14593,2014-12-26,0.017677
14593,2014-12-29,-0.000702
14593,2014-12-30,-0.012203
14593,2014-12-31,-0.019019
14593,2015-01-02,-0.009513
14593,2015-01-05,-0.028172
14593,2015-01-06,0.000094
14593,2015-01-07,0.014022
14593,2015-01-08,0.038422
14593,2015-01-09,0.001073
14593,2015-01-12,-0.024641
14593,2015-01-13,0.008879
14593,2015-01-14,-0.003811
14593,2015-01-15,-0.02714
14593,2015-01-16,-0.00777
14593,2015-01-20,0.025757
14593,2015-01-21,0.007634
14593,2015-01-22,0.026016
14593,2015-01-23,0.00516
14593,2015-01-26,0.001062
14593,2015-01-27,-0.035013
14593,2015-01-28,0.056533
14593,2015-01-29,0.031134
14593,2015-01-30,-0.014634
14593,2015-02-02,0.012547
14593,2015-02-03,0.000169
14593,2015-02-04,0.00767
14593,2015-02-05,0.007109
14593,2015-02-06,-0.008421
14593,2015-02-09,0.006643
14593,2015-02-10,0.019211
14593,2015-02-11,0.023439
14593,2015-02-12,0.012652
14593,2015-02-13,0.004903
14593,2015-02-17,0.005902
14593,2015-02-18,0.006923
14593,2015-02-19,-0.002059
14593,2015-02-20,0.008135
14593,2015-02-23,0.027067
14593,2015-02-24,-0.006241
14593,2015-02-25,-0.025573
14593,2015-02-26,0.012617
14593,2015-02-27,-0.014991
14593,2015-03-02,0.004904
14593,2015-03-03,0.002092
14593,2015-03-04,-0.006339
14593,2015-03-05,-0.016571
14593,2015-03-06,0.001503
14593,2015-03-09,0.004265
14593,2015-03-10,-0.020686
14593,2015-03-11,-0.018232
14593,2015-03-12,0.018079
14593,2015-03-13,-0.00691
14593,2015-03-16,0.011004
14593,2015-03-17,0.016727
14593,2015-03-18,0.011256
14593,2015-03-19,-0.007589
14593,2015-03-20,-0.01251
14593,2015-03-23,0.010405
14593,2015-03-24,-0.004088
14593,2015-03-25,-0.026127
14593,2015-03-26,0.00697
14593,2015-03-27,-0.007968
14593,2015-03-30,0.025314
14593,2015-03-31,-0.015352
14593,2015-04-01,-0.001447
14593,2015-04-02,0.008612
14593,2015-04-06,0.016199
14593,2015-04-07,-0.010522
14593,2015-04-08,-0.003254
14593,2015-04-09,0.007643
14593,2015-04-10,0.004267
14593,2015-04-13,-0.001967
14593,2015-04-14,-0.004336
14593,2015-04-15,0.0038
14593,2015-04-16,-0.004811
14593,2015-04-17,-0.011255
14593,2015-04-20,0.022846
14593,2015-04-21,-0.005407
14593,2015-04-22,0.013474
14593,2015-04-23,0.008164
14593,2015-04-24,0.004704
14593,2015-04-27,0.018192
14593,2015-04-28,-0.015756
14593,2015-04-29,-0.014706
14593,2015-04-30,-0.02713
14593,2015-05-01,0.030364
14593,2015-05-04,-0.001939
14593,2015-05-05,-0.022533
14593,2015-05-06,-0.00628
14593,2015-05-07,0.00616
14593,2015-05-08,0.018841
14593,2015-05-11,-0.010187
14593,2015-05-12,-0.003602
14593,2015-05-13,0.001152
14593,2015-05-14,0.023331
14593,2015-05-15,-0.001396
14593,2015-05-18,0.011027
14593,2015-05-19,-0.000922
14593,2015-05-20,-0.000077
14593,2015-05-21,0.010226
14593,2015-05-22,0.008753
14593,2015-05-26,-0.022031
14593,2015-05-27,0.018709
14593,2015-05-28,-0.002007
14593,2015-05-29,-0.011383
14593,2015-06-01,0.001957
14593,2015-06-02,-0.004405
14593,2015-06-03,0.001231
14593,2015-06-04,-0.005841
14593,2015-06-05,-0.005489
14593,2015-06-08,-0.006607
14593,2015-06-09,-0.002973
14593,2015-06-10,0.011458
14593,2015-06-11,-0.00225
14593,2015-06-12,-0.011043
14593,2015-06-15,-0.001966
14593,2015-06-16,0.005358
14593,2015-06-17,-0.002351
14593,2015-06-18,0.004556
14593,2015-06-19,-0.010009
14593,2015-06-22,0.007978
14593,2015-06-23,-0.004545
14593,2015-06-24,0.008502
14593,2015-06-25,-0.004762
14593,2015-06-26,-0.005882
14593,2015-06-29,-0.017515
14593,2015-06-30,0.007187
14593,2015-07-01,0.009368
14593,2015-07-02,-0.001264
14593,2015-07-06,-0.00348
14593,2015-07-07,-0.00246
14593,2015-07-08,-0.024823
14593,2015-07-09,-0.020397
14593,2015-07-10,0.026734
14593,2015-07-13,0.019306
14593,2015-07-14,-0.000398
14593,2015-07-15,0.009633
14593,2015-07-16,0.013326
14593,2015-07-17,0.008637
14593,2015-07-20,0.018901
14593,2015-07-21,-0.009995
14593,2015-07-22,-0.042294
14593,2015-07-23,-0.000479
14593,2015-07-24,-0.005273
14593,2015-07-27,-0.013896
14593,2015-07-28,0.004969
14593,2015-07-29,-0.003161
14593,2015-07-30,-0.005041
14593,2015-07-31,-0.008744
14593,2015-08-03,-0.023578
14593,2015-08-04,-0.032084
14593,2015-08-05,0.006629
14593,2015-08-06,0.002166
14593,2015-08-07,0.003387
14593,2015-08-10,0.036357
14593,2015-08-11,-0.052038
14593,2015-08-12,0.01542
14593,2015-08-13,-0.000781
14593,2015-08-14,0.007034
14593,2015-08-17,0.010348
14593,2015-08-18,-0.005633
14593,2015-08-19,-0.01279
14593,2015-08-20,-0.02052
14593,2015-08-21,-0.061163
14593,2015-08-24,-0.024962
14593,2015-08-25,0.006012
14593,2015-08-26,0.057355
14593,2015-08-27,0.029447
14593,2015-08-28,0.003277
14593,2015-08-31,-0.004678
14593,2015-09-01,-0.044697
14593,2015-09-02,0.042889
14593,2015-09-03,-0.017536
14593,2015-09-04,-0.009967
14593,2015-09-08,0.027821
14593,2015-09-09,-0.019232
14593,2015-09-10,0.02197
14593,2015-09-11,0.014569
14593,2015-09-14,0.009631
14593,2015-09-15,0.008412
14593,2015-09-16,0.001118
14593,2015-09-17,-0.02139
14593,2015-09-18,-0.004126
14593,2015-09-21,0.015513
14593,2015-09-22,-0.01571
14593,2015-09-23,0.008113
14593,2015-09-24,0.005948
14593,2015-09-25,-0.002522
14593,2015-09-28,-0.019789
14593,2015-09-29,-0.030061
14593,2015-09-30,0.01137
14593,2015-10-01,-0.006528
14593,2015-10-02,0.007301
14593,2015-10-05,0.003624
14593,2015-10-06,0.004784
14593,2015-10-07,-0.004761
14593,2015-10-08,-0.011554
14593,2015-10-09,0.023927
14593,2015-10-12,-0.004638
14593,2015-10-13,0.001703
14593,2015-10-14,-0.014134
14593,2015-10-15,0.014971
14593,2015-10-16,-0.007331
14593,2015-10-19,0.006214
14593,2015-10-20,0.018258
14593,2015-10-21,-0.000088
14593,2015-10-22,0.015295
14593,2015-10-23,0.030996
14593,2015-10-26,-0.031911
14593,2015-10-27,-0.006332
14593,2015-10-28,0.041205
14593,2015-10-29,0.010564
14593,2015-10-30,-0.008546
14593,2015-11-02,0.014059
14593,2015-11-03,0.011471
14593,2015-11-04,-0.00465
14593,2015-11-05,-0.00459
14593,2015-11-06,0.001158
14593,2015-11-09,-0.004048
14593,2015-11-10,-0.031517
14593,2015-11-11,-0.005652
14593,2015-11-12,-0.003359
14593,2015-11-13,-0.029208
14593,2015-11-16,0.016334
14593,2015-11-17,-0.004248
14593,2015-11-18,0.031665
14593,2015-11-19,0.012704
14593,2015-11-20,0.004378
14593,2015-11-23,-0.012992
14593,2015-11-24,0.009597
14593,2015-11-25,-0.00715
14593,2015-11-27,-0.001864
14593,2015-11-30,0.004159
14593,2015-12-01,-0.008115
14593,2015-12-02,-0.009034
14593,2015-12-03,-0.009288
14593,2015-12-04,0.033247
14593,2015-12-07,-0.006301
14593,2015-12-08,-0.000423
14593,2015-12-09,-0.022076
14593,2015-12-10,0.004757
14593,2015-12-11,-0.025738
14593,2015-12-14,-0.006185
14593,2015-12-15,-0.017692
14593,2015-12-16,0.007693
14593,2015-12-17,-0.021196
14593,2015-12-18,-0.027069
14593,2015-12-21,0.012261
14593,2015-12-22,-0.000932
14593,2015-12-23,0.01287
14593,2015-12-24,-0.00534
14593,2015-12-28,-0.011201
14593,2015-12-29,0.017974
14593,2015-12-30,-0.013059
14593,2015-12-31,-0.019195
14593,2016-01-04,0.000855
14593,2016-01-05,-0.025059
14593,2016-01-06,-0.01957
14593,2016-01-07,-0.042205
14593,2016-01-08,0.005288
14593,2016-01-11,0.016192
14593,2016-01-12,0.014513
14593,2016-01-13,-0.02571
14593,2016-01-14,0.021871
14593,2016-01-15,-0.024015
14593,2016-01-19,-0.004839
14593,2016-01-20,0.001345
14593,2016-01-21,-0.005062
14593,2016-01-22,0.053167
14593,2016-01-25,-0.019523
14593,2016-01-26,0.005531
14593,2016-01-27,-0.065707
14593,2016-01-28,0.007172
14593,2016-01-29,0.034541
14593,2016-02-01,-0.009349
14593,2016-02-02,-0.020222
14593,2016-02-03,0.019792
14593,2016-02-04,0.007992
14593,2016-02-05,-0.026708
14593,2016-02-08,0.01053
14593,2016-02-09,-0.000211
14593,2016-02-10,-0.00758
14593,2016-02-11,-0.006046
14593,2016-02-12,0.003095
14593,2016-02-16,0.028195
14593,2016-02-17,0.015315
14593,2016-02-18,-0.018956
14593,2016-02-19,-0.002285
14593,2016-02-22,0.008746
14593,2016-02-23,-0.022605
14593,2016-02-24,0.014891
14593,2016-02-25,0.006868
14593,2016-02-26,0.00155
14593,2016-02-29,-0.00227
14593,2016-03-01,0.039715
14593,2016-03-02,0.002188
14593,2016-03-03,0.007444
14593,2016-03-04,0.014877
14593,2016-03-07,-0.011067
14593,2016-03-08,-0.008246
14593,2016-03-09,0.000891
14593,2016-03-10,0.000494
14593,2016-03-11,0.010774
14593,2016-03-14,0.002542
14593,2016-03-15,0.020094
14593,2016-03-16,0.013291
14593,2016-03-17,-0.001604
14593,2016-03-18,0.001134
14593,2016-03-21,-0.000094
14593,2016-03-22,0.007648
14593,2016-03-23,-0.005529
14593,2016-03-24,-0.004334
14593,2016-03-28,-0.004542
14593,2016-03-29,0.023671
14593,2016-03-30,0.017459
14593,2016-03-31,-0.005203
14593,2016-04-01,0.009175
14593,2016-04-04,0.010274
14593,2016-04-05,-0.011789
14593,2016-04-06,0.010473
14593,2016-04-07,-0.02181
14593,2016-04-08,0.001106
14593,2016-04-11,0.003313
14593,2016-04-12,0.013025
14593,2016-04-13,0.014487
14593,2016-04-14,0.000536
14593,2016-04-15,-0.020071
14593,2016-04-18,-0.021575
14593,2016-04-19,-0.005303
14593,2016-04-20,0.002058
14593,2016-04-21,-0.010828
14593,2016-04-22,-0.002737
14593,2016-04-25,-0.005678
14593,2016-04-26,-0.006947
14593,2016-04-27,-0.062578
14593,2016-04-28,-0.030566
14593,2016-04-29,-0.011494
14593,2016-05-02,-0.001067
14593,2016-05-03,0.016446
14593,2016-05-04,-0.010401
14593,2016-05-05,-0.004034
14593,2016-05-06,-0.005577
14593,2016-05-09,0.000755
14593,2016-05-10,0.006789
14593,2016-05-11,-0.009741
14593,2016-05-12,-0.023457
14593,2016-05-13,0.001992
14593,2016-05-16,0.037119
14593,2016-05-17,-0.004154
14593,2016-05-18,0.011445
14593,2016-05-19,-0.003807
14593,2016-05-20,0.010828
14593,2016-05-23,0.012707
14593,2016-05-24,0.015244
14593,2016-05-25,0.017569
14593,2016-05-26,0.00793
14593,2016-05-27,-0.000598
14593,2016-05-31,-0.004883
14593,2016-06-01,-0.01402
14593,2016-06-02,-0.007516
14593,2016-06-03,0.002047
14593,2016-06-06,0.007251
14593,2016-06-07,0.004056
14593,2016-06-08,-0.000909
14593,2016-06-09,0.007176
14593,2016-06-10,-0.008229
14593,2016-06-13,-0.015076
14593,2016-06-14,0.001233
14593,2016-06-15,-0.003283
14593,2016-06-16,0.004221
14593,2016-06-17,-0.022758
14593,2016-06-20,-0.002413
14593,2016-06-21,0.008517
14593,2016-06-22,-0.003754
14593,2016-06-23,0.005756
14593,2016-06-24,-0.028096
14593,2016-06-27,-0.014561
14593,2016-06-28,0.01684
14593,2016-06-29,0.008655
14593,2016-06-30,0.012712
14593,2016-07-01,0.003033
14593,2016-07-05,-0.009386
14593,2016-07-06,0.005685
14593,2016-07-07,0.004292
14593,2016-07-08,0.007713
14593,2016-07-11,0.003103
14593,2016-07-12,0.004537
14593,2016-07-13,-0.005646
14593,2016-07-14,0.01982
14593,2016-07-15,-0.000101
14593,2016-07-18,0.01063
14593,2016-07-19,0.000401
14593,2016-07-20,0.000901
14593,2016-07-21,-0.005302
14593,2016-07-22,-0.007744
14593,2016-07-25,-0.013379
14593,2016-07-26,-0.006883
14593,2016-07-27,0.064963
14593,2016-07-28,0.013502
14593,2016-07-29,-0.001246
14593,2016-08-01,0.017657
14593,2016-08-02,-0.014804
14593,2016-08-03,0.012538
14593,2016-08-04,0.006144
14593,2016-08-05,0.015207
14593,2016-08-08,0.008281
14593,2016-08-09,0.00406
14593,2016-08-10,-0.007444
14593,2016-08-11,-0.000648
14593,2016-08-12,0.002316
14593,2016-08-15,0.012017
14593,2016-08-16,-0.000913
14593,2016-08-17,-0.001463
14593,2016-08-18,-0.001282
14593,2016-08-19,0.002567
14593,2016-08-22,-0.007772
14593,2016-08-23,0.003133
14593,2016-08-24,-0.007533
14593,2016-08-25,-0.004258
14593,2016-08-26,-0.005857
14593,2016-08-29,-0.001122
14593,2016-08-30,-0.007676
14593,2016-08-31,0.000943
14593,2016-09-01,0.005938
14593,2016-09-02,0.009369
14593,2016-09-06,-0.000279
14593,2016-09-07,0.006128
14593,2016-09-08,-0.026209
14593,2016-09-09,-0.02265
14593,2016-09-12,0.022399
14593,2016-09-13,0.023805
14593,2016-09-14,0.035387
14593,2016-09-15,0.033998
14593,2016-09-16,-0.005624
14593,2016-09-19,-0.01166
14593,2016-09-20,-0.000088
14593,2016-09-21,-0.000176
14593,2016-09-22,0.009423
14593,2016-09-23,-0.016664
14593,2016-09-26,0.001508
14593,2016-09-27,0.00186
14593,2016-09-28,0.007605
14593,2016-09-29,-0.015533
14593,2016-09-30,0.007755
14593,2016-10-03,-0.004688
14593,2016-10-04,0.004266
14593,2016-10-05,0.000443
14593,2016-10-06,0.00743
14593,2016-10-07,0.001493
14593,2016-10-10,0.017447
14593,2016-10-11,0.002154
14593,2016-10-12,0.008942
14593,2016-10-13,-0.003068
14593,2016-10-14,0.005556
14593,2016-10-17,-0.00068
14593,2016-10-18,-0.000681
14593,2016-10-19,-0.002979
14593,2016-10-20,-0.000512
14593,2016-10-21,-0.00393
14593,2016-10-24,0.009005
14593,2016-10-25,0.0051
14593,2016-10-26,-0.022495
14593,2016-10-27,-0.009603
14593,2016-10-28,-0.006639
14593,2016-10-31,-0.001583
14593,2016-11-01,-0.018055
14593,2016-11-02,0.000897
14593,2016-11-03,-0.010664
14593,2016-11-04,-0.009014
14593,2016-11-07,0.014425
14593,2016-11-08,0.005887
14593,2016-11-09,-0.001621
14593,2016-11-10,-0.027868
14593,2016-11-11,0.005937
14593,2016-11-14,-0.025085
14593,2016-11-15,0.013244
14593,2016-11-16,0.026888
14593,2016-11-17,-0.000364
14593,2016-11-18,0.001
14593,2016-11-21,0.015174
14593,2016-11-22,0.000627
14593,2016-11-23,-0.005098
14593,2016-11-25,0.005035
14593,2016-11-28,-0.001968
14593,2016-11-29,-0.000986
14593,2016-11-30,-0.008434
14593,2016-12-01,-0.00932
14593,2016-12-02,0.003745
14593,2016-12-05,-0.007188
14593,2016-12-06,0.007699
14593,2016-12-07,0.009823
14593,2016-12-08,0.009817
14593,2016-12-09,0.016322
14593,2016-12-12,-0.005704
14593,2016-12-13,0.016681
14593,2016-12-14,0
14593,2016-12-15,0.005469
14593,2016-12-16,0.001295
14593,2016-12-19,0.005777
14593,2016-12-20,0.002658
14593,2016-12-21,0.000941
14593,2016-12-22,-0.006578
14593,2016-12-23,0.001978
14593,2016-12-27,0.006351
14593,2016-12-28,-0.004264
14593,2016-12-29,-0.000257
14593,2016-12-30,-0.007796
14593,2017-01-03,0.002849
14593,2017-01-04,-0.001119
14593,2017-01-05,0.005085
14593,2017-01-06,0.011148
14593,2017-01-09,0.009159
14593,2017-01-10,0.001009
14593,2017-01-11,0.005373
14593,2017-01-12,-0.004175
14593,2017-01-13,-0.001761
14593,2017-01-17,0.008065
14593,2017-01-18,-0.000083
14593,2017-01-19,-0.00175
14593,2017-01-20,0.001837
14593,2017-01-23,0.000667
14593,2017-01-24,-0.000916
14593,2017-01-25,0.015921
14593,2017-01-26,0.000492
14593,2017-01-27,0.000082
14593,2017-01-30,-0.002624
14593,2017-01-31,-0.002302
14593,2017-02-01,0.060981
14593,2017-02-02,-0.001709
14593,2017-02-03,0.004279
14593,2017-02-06,0.009374
14593,2017-02-07,0.009517
14593,2017-02-08,0.003877
14593,2017-02-09,0.007195
14593,2017-02-10,-0.002266
14593,2017-02-13,0.008856
14593,2017-02-14,0.012979
14593,2017-02-15,0.003629
14593,2017-02-16,-0.001218
14593,2017-02-17,0.002771
14593,2017-02-21,0.007221
14593,2017-02-22,0.002999
14593,2017-02-23,-0.00423
14593,2017-02-24,0.000952
14593,2017-02-27,0.001976
14593,2017-02-28,0.000438
14593,2017-03-01,0.020439
14593,2017-03-02,-0.005937
14593,2017-03-03,0.005901
14593,2017-03-06,-0.003148
14593,2017-03-07,0.001292
14593,2017-03-08,-0.003727
14593,2017-03-09,-0.002302
14593,2017-03-10,0.003317
14593,2017-03-13,0.000431
14593,2017-03-14,-0.001509
14593,2017-03-15,0.010576
14593,2017-03-16,0.001637
14593,2017-03-17,-0.004975
14593,2017-03-20,0.010501
14593,2017-03-21,-0.011452
14593,2017-03-22,0.011299
14593,2017-03-23,-0.003536
14593,2017-03-24,-0.001987
14593,2017-03-27,0.001707
14593,2017-03-28,0.020727
14593,2017-03-29,0.002225
14593,2017-03-30,-0.001318
14593,2017-03-31,-0.001876
14593,2017-04-03,0.000278
14593,2017-04-04,0.007446
14593,2017-04-05,-0.005181
14593,2017-04-06,-0.0025
14593,2017-04-07,-0.002228
14593,2017-04-10,-0.001186
14593,2017-04-11,-0.010756
14593,2017-04-12,0.0012
14593,2017-04-13,-0.005289
14593,2017-04-17,0.00553
14593,2017-04-18,-0.004442
14593,2017-04-19,-0.003683
14593,2017-04-20,0.012511
14593,2017-04-21,-0.001193
14593,2017-04-24,0.00963
14593,2017-04-25,0.006196
14593,2017-04-26,-0.005881
14593,2017-04-27,0.000766
14593,2017-04-28,-0.000974
14593,2017-05-01,0.020397
14593,2017-05-02,0.006345
